imdbId,tvdbId,tmdbId,tvmazeId
tt2826774,277498,91395,89895
tt4158318,306944,65544,
tt4546868,328387,77280,
tt4067076,294786,62839,8437
tt0078403,,49757,
tt0098753,277659,64676,
tt3764648,306620,74271,
tt0091987,,125356,
tt0077555,,17233,
tt5672212,322291,72836,24585
tt0105494,,43494,
tt0923648,,41686,
tt1479568,358222,35938,
tt0059352,144581,85341,
tt14358016,400231,123034,54425
tt14872752,,213403,
tt0373552,382965,35945,
tt0158545,,44770,
tt0077837,,49827,
tt35704469,,313233,
tt2039625,253990,66774,6097
tt2153392,462433,155842,
tt3611066,262579,60970,
tt2096883,240331,113006,
tt0442812,81890,253426,
tt2057790,252346,100953,
tt2587452,263423,72771,15713
tt4613520,320305,68945,14837
tt2333420,205541,318790,
tt15477488,429133,132117,66905
tt1308490,457091,39965,28942
tt2106857,255253,43884,7436
tt9010756,354254,82619,44418
tt5588670,354254,82619,44418
tt4773278,297463,62917,18313
tt3257766,301341,65633,27041
tt6289578,302585,64292,13859
tt5838282,313538,67235,18637
tt5095238,,320552,14690
tt6242010,414451,71802,
tt6724368,325366,71036,26106
tt6156654,325184,88020,26915
tt6840750,353270,76395,
tt4676114,266674,321642,40991
tt5792188,313302,66796,20667
tt5881326,315804,71437,25170
tt6603416,320344,68959,41391
tt6133328,349785,128293,
tt7731126,336292,82216,41540
tt28639457,427616,119584,
tt1781633,347914,39808,
tt7765404,353367,84231,33836
tt8929792,347021,82948,38636
tt8933956,398799,82100,38525
tt6473300,354808,84105,39868
tt7865962,325091,77696,63967
tt11097710,457052,87931,
tt10107418,415982,93671,
tt9843392,398278,99009,70109
tt11404416,372932,115652,45328
tt10845722,,94891,
tt4501242,,302450,16280
tt11041046,376879,99248,46224
tt11947358,383904,101337,52526
tt10584350,373202,99296,45307
tt11852806,367477,107876,46141
tt12545754,384489,105024,48779
tt9776292,,96805,41609
tt12739780,403223,128052,
tt13534870,398570,120607,54333
tt14077008,397024,136655,53680
tt14420552,403263,126098,55676
tt9054552,,85038,
tt14993332,406262,128857,56348
tt15404252,463021,133687,
tt15151704,424195,131960,
tt13352178,391758,121922,57478
tt16383322,412438,137467,58436
tt15404324,411396,136460,67598
tt13470984,394225,115597,52931
tt20602820,411735,136973,61008
tt16442600,,155655,64386
tt15712844,418178,136714,83617
tt18310560,419990,138283,80892
tt14500830,,205799,68556
tt5684430,320679,68985,19884
tt23032868,425933,157161,64112
tt22399058,425472,197235,64845
tt22227040,425144,210922,64322
tt22072834,419814,201256,64122
tt10741326,386394,244559,65190
tt26315676,430208,219019,67659
tt16160870,373059,306480,
tt27528139,433625,224387,
tt27646485,419647,206619,67823
tt27618264,435521,225195,
tt22754644,,216281,
tt27477661,433102,223579,67779
tt20495272,420467,202657,62328
tt26494170,,221278,
tt6416100,347464,96434,53798
tt26225038,429560,218230,70384
tt15067404,,272630,
tt27542951,436524,152401,90043
tt27650267,433084,223520,67778
tt15858746,,214045,
tt27494999,444188,242392,73714
tt29661726,,246173,
tt31812476,447806,249522,
tt31173705,442623,243086,
tt33451063,472946,285507,
tt19434166,416452,195192,61562
tt29721069,436617,231748,72528
tt34498121,456973,276609,
tt37458132,461092,285896,
tt34622123,438634,233219,84420
tt37460128,464831,293965,
tt34903451,461864,278882,81309
tt39122494,,284021,90166
tt3218346,284579,297041,
tt1842127,237951,61579,407
tt1826332,254233,60896,11056
tt0369035,337310,34534,34628
tt4714132,295714,62898,43515
tt5096586,306359,66821,17305
tt5583628,315214,83308,
tt6125832,329016,70372,25634
tt6030168,,86420,
tt5280950,323826,101691,
tt7776966,,75354,
tt6781080,324637,75399,84335
tt7151596,335487,74150,84954
tt7550970,337315,78890,
tt8360352,344216,77826,
tt8000638,351344,81991,38431
